state,county,candidate,party,votes,won
Indiana,Madison  ,Donald Rainwater,LIB,8118,FALSE
Indiana,Marion  ,Woody Myers,DEM,203475,TRUE
Indiana,Marion  ,Eric Holcomb,REP,152405,FALSE
Indiana,Marion  ,Donald Rainwater,LIB,34974,FALSE
Indiana,Marshall  ,Eric Holcomb,REP,13145,TRUE
Indiana,Marshall  ,Woody Myers,DEM,4025,FALSE
Indiana,Marshall  ,Donald Rainwater,LIB,2634,FALSE
Indiana,Martin  ,Eric Holcomb,REP,3232,TRUE
Indiana,Martin  ,Donald Rainwater,LIB,1177,FALSE
Indiana,Martin  ,Woody Myers,DEM,709,FALSE
Indiana,Miami  ,Eric Holcomb,REP,9208,TRUE
Indiana,Miami  ,Donald Rainwater,LIB,2714,FALSE
Indiana,Miami  ,Woody Myers,DEM,2439,FALSE
Indiana,Monroe  ,Woody Myers,DEM,33033,TRUE
Indiana,Monroe  ,Eric Holcomb,REP,24605,FALSE
Indiana,Monroe  ,Donald Rainwater,LIB,4885,FALSE
Indiana,Montgomery  ,Eric Holcomb,REP,10587,TRUE
Indiana,Montgomery  ,Donald Rainwater,LIB,3785,FALSE
Indiana,Montgomery  ,Woody Myers,DEM,2812,FALSE
Indiana,Morgan  ,Eric Holcomb,REP,22161,TRUE
Indiana,Morgan  ,Donald Rainwater,LIB,8184,FALSE
Indiana,Morgan  ,Woody Myers,DEM,5602,FALSE
Indiana,Newton  ,Eric Holcomb,REP,4358,TRUE
Indiana,Newton  ,Woody Myers,DEM,1148,FALSE
Indiana,Newton  ,Donald Rainwater,LIB,1050,FALSE
Indiana,Noble  ,Eric Holcomb,REP,12498,TRUE
Indiana,Noble  ,Donald Rainwater,LIB,3353,FALSE
Indiana,Noble  ,Woody Myers,DEM,3237,FALSE
Indiana,Ohio  ,Eric Holcomb,REP,2210,TRUE
Indiana,Ohio  ,Woody Myers,DEM,641,FALSE
Indiana,Ohio  ,Donald Rainwater,LIB,335,FALSE
Indiana,Orange  ,Eric Holcomb,REP,5591,TRUE
Indiana,Orange  ,Woody Myers,DEM,1952,FALSE
Indiana,Orange  ,Donald Rainwater,LIB,1216,FALSE
Indiana,Owen  ,Eric Holcomb,REP,5857,TRUE
Indiana,Owen  ,Donald Rainwater,LIB,2137,FALSE
Indiana,Owen  ,Woody Myers,DEM,1852,FALSE
Indiana,Parke  ,Eric Holcomb,REP,4766,TRUE
Indiana,Parke  ,Woody Myers,DEM,1127,FALSE
Indiana,Parke  ,Donald Rainwater,LIB,1079,FALSE
Indiana,Perry  ,Eric Holcomb,REP,5523,TRUE
Indiana,Perry  ,Woody Myers,DEM,2518,FALSE
Indiana,Perry  ,Donald Rainwater,LIB,607,FALSE
Indiana,Pike  ,Eric Holcomb,REP,4199,TRUE
Indiana,Pike  ,Woody Myers,DEM,1092,FALSE
Indiana,Pike  ,Donald Rainwater,LIB,850,FALSE
Indiana,Porter  ,Eric Holcomb,REP,45996,TRUE
Indiana,Porter  ,Woody Myers,DEM,33397,FALSE
Indiana,Porter  ,Donald Rainwater,LIB,7131,FALSE
Indiana,Posey  ,Eric Holcomb,REP,9648,TRUE
Indiana,Posey  ,Woody Myers,DEM,2773,FALSE
Indiana,Posey  ,Donald Rainwater,LIB,809,FALSE
Indiana,Pulaski  ,Eric Holcomb,REP,3874,TRUE
Indiana,Pulaski  ,Woody Myers,DEM,1019,FALSE
Indiana,Pulaski  ,Donald Rainwater,LIB,875,FALSE
Indiana,Putnam  ,Eric Holcomb,REP,9375,TRUE
Indiana,Putnam  ,Donald Rainwater,LIB,4269,FALSE
Indiana,Putnam  ,Woody Myers,DEM,2876,FALSE
Indiana,Randolph  ,Eric Holcomb,REP,7399,TRUE
Indiana,Randolph  ,Woody Myers,DEM,1863,FALSE
Indiana,Randolph  ,Donald Rainwater,LIB,1732,FALSE
Indiana,Ripley  ,Eric Holcomb,REP,9518,TRUE
Indiana,Ripley  ,Donald Rainwater,LIB,2458,FALSE
Indiana,Ripley  ,Woody Myers,DEM,2231,FALSE
Indiana,Rush  ,Eric Holcomb,REP,4949,TRUE
Indiana,Rush  ,Donald Rainwater,LIB,1716,FALSE
Indiana,Rush  ,Woody Myers,DEM,1215,FALSE
Indiana,St. Joseph  ,Donald Rainwater,LIB,60696,TRUE
Indiana,St. Joseph  ,Woody Myers,DEM,48610,FALSE
Indiana,St. Joseph  ,Eric Holcomb,REP,5387,FALSE
Indiana,Scott  ,Eric Holcomb,REP,6062,TRUE
Indiana,Scott  ,Woody Myers,DEM,2295,FALSE
Indiana,Scott  ,Donald Rainwater,LIB,1613,FALSE
Indiana,Shelby  ,Eric Holcomb,REP,12269,TRUE
Indiana,Shelby  ,Donald Rainwater,LIB,4099,FALSE
Indiana,Shelby  ,Woody Myers,DEM,3499,FALSE
Indiana,Spencer  ,Eric Holcomb,REP,7272,TRUE
Indiana,Spencer  ,Woody Myers,DEM,2461,FALSE
Indiana,Spencer  ,Donald Rainwater,LIB,926,FALSE
Indiana,Starke  ,Eric Holcomb,REP,6730,TRUE
Indiana,Starke  ,Woody Myers,DEM,2026,FALSE
Indiana,Starke  ,Donald Rainwater,LIB,1427,FALSE
Indiana,Steuben  ,Eric Holcomb,REP,11407,TRUE
Indiana,Steuben  ,Woody Myers,DEM,2939,FALSE
Indiana,Steuben  ,Donald Rainwater,LIB,1739,FALSE
Indiana,Sullivan  ,Eric Holcomb,REP,6009,TRUE
Indiana,Sullivan  ,Woody Myers,DEM,1550,FALSE
Indiana,Sullivan  ,Donald Rainwater,LIB,1357,FALSE
Indiana,Switzerland  ,Eric Holcomb,REP,2846,TRUE
Indiana,Switzerland  ,Woody Myers,DEM,822,FALSE
Indiana,Switzerland  ,Donald Rainwater,LIB,412,FALSE
Indiana,Tippecanoe  ,Eric Holcomb,REP,37979,TRUE
Indiana,Tippecanoe  ,Woody Myers,DEM,26179,FALSE
Indiana,Tippecanoe  ,Donald Rainwater,LIB,7057,FALSE
Indiana,Tipton  ,Eric Holcomb,REP,5169,TRUE
Indiana,Tipton  ,Donald Rainwater,LIB,1707,FALSE
Indiana,Tipton  ,Woody Myers,DEM,1200,FALSE
Indiana,Union  ,Eric Holcomb,REP,2533,TRUE
Indiana,Union  ,Woody Myers,DEM,603,FALSE
Indiana,Union  ,Donald Rainwater,LIB,323,FALSE
Indiana,Vanderburgh  ,Eric Holcomb,REP,46490,TRUE
Indiana,Vanderburgh  ,Woody Myers,DEM,27242,FALSE
Indiana,Vanderburgh  ,Donald Rainwater,LIB,3658,FALSE
Indiana,Vermillion  ,Eric Holcomb,REP,4938,TRUE
Indiana,Vermillion  ,Woody Myers,DEM,1531,FALSE
Indiana,Vermillion  ,Donald Rainwater,LIB,917,FALSE
Indiana,Vigo  ,Eric Holcomb,REP,25917,TRUE
Indiana,Vigo  ,Woody Myers,DEM,13999,FALSE
Indiana,Vigo  ,Donald Rainwater,LIB,3419,FALSE
Indiana,Wabash  ,Eric Holcomb,REP,9111,TRUE
Indiana,Wabash  ,Donald Rainwater,LIB,2979,FALSE
Indiana,Wabash  ,Woody Myers,DEM,2421,FALSE
Indiana,Warren  ,Eric Holcomb,REP,3009,TRUE
Indiana,Warren  ,Donald Rainwater,LIB,777,FALSE
Indiana,Warren  ,Woody Myers,DEM,672,FALSE
Indiana,Warrick  ,Eric Holcomb,REP,22703,TRUE
Indiana,Warrick  ,Woody Myers,DEM,9074,FALSE
Indiana,Warrick  ,Donald Rainwater,LIB,1747,FALSE
Indiana,Washington  ,Eric Holcomb,REP,7919,TRUE
Indiana,Washington  ,Woody Myers,DEM,2408,FALSE
Indiana,Washington  ,Donald Rainwater,LIB,1746,FALSE
Indiana,Wayne  ,Eric Holcomb,REP,16914,TRUE
Indiana,Wayne  ,Woody Myers,DEM,7534,FALSE
Indiana,Wayne  ,Donald Rainwater,LIB,3172,FALSE
Indiana,Wells  ,Eric Holcomb,REP,9371,TRUE
Indiana,Wells  ,Donald Rainwater,LIB,2712,FALSE
Indiana,Wells  ,Woody Myers,DEM,1967,FALSE
Indiana,White  ,Eric Holcomb,REP,7334,TRUE
Indiana,White  ,Woody Myers,DEM,1978,FALSE
Indiana,White  ,Donald Rainwater,LIB,1826,FALSE
Indiana,Whitley  ,Eric Holcomb,REP,11522,TRUE
Indiana,Whitley  ,Donald Rainwater,LIB,3191,FALSE
Indiana,Whitley  ,Woody Myers,DEM,2738,FALSE
Missouri,Adair  ,Mike Parson,REP,6576,TRUE
Missouri,Adair  ,Nicole Galloway,DEM,3542,FALSE
Missouri,Adair  ,Rik Combs,LIB,131,FALSE
Missouri,Adair  ,Jerome Bauer,GRN,43,FALSE
Missouri,Andrew  ,Mike Parson,REP,7195,TRUE
Missouri,Andrew  ,Nicole Galloway,DEM,2356,FALSE
Missouri,Andrew  ,Rik Combs,LIB,140,FALSE
Missouri,Andrew  ,Jerome Bauer,GRN,42,FALSE
Missouri,Atchison  ,Mike Parson,REP,2171,TRUE
Missouri,Atchison  ,Nicole Galloway,DEM,533,FALSE
Missouri,Atchison  ,Rik Combs,LIB,51,FALSE
Missouri,Atchison  ,Jerome Bauer,GRN,15,FALSE
Missouri,Audrain  ,Mike Parson,REP,7638,TRUE
Missouri,Audrain  ,Nicole Galloway,DEM,2663,FALSE
Missouri,Audrain  ,Rik Combs,LIB,232,FALSE
Missouri,Audrain  ,Jerome Bauer,GRN,70,FALSE
Missouri,Barry  ,Mike Parson,REP,12356,TRUE
Missouri,Barry  ,Nicole Galloway,DEM,2841,FALSE
Missouri,Barry  ,Rik Combs,LIB,242,FALSE
Missouri,Barry  ,Jerome Bauer,GRN,88,FALSE
Missouri,Barton  ,Mike Parson,REP,5114,TRUE
Missouri,Barton  ,Nicole Galloway,DEM,816,FALSE
Missouri,Barton  ,Rik Combs,LIB,69,FALSE
Missouri,Barton  ,Jerome Bauer,GRN,33,FALSE
Missouri,Bates  ,Mike Parson,REP,6409,TRUE
Missouri,Bates  ,Nicole Galloway,DEM,1762,FALSE
